clearLog4js - Log4js | Level Filter: 
14:19:12 TRACE Log4js - > AjaxAppender.setThreshold: 5
14:19:12 TRACE Log4js - < AjaxAppender.setThreshold
14:19:12 DEBUG Log4js - defineMethod: Number::shortValue[]
14:19:12 DEBUG Log4js - defineMethod: Number::byteValue[]
14:19:12 DEBUG Log4js - defineMethod: Number::intValue[]
14:19:12 DEBUG Log4js - defineMethod: Number::longValue[]
14:19:12 DEBUG Log4js - defineMethod: Number::floatValue[]
14:19:12 DEBUG Log4js - defineMethod: Number::doubleValue[]
14:19:12 DEBUG Log4js - defineMethod: Number::hashCode[]
14:19:12 DEBUG Log4js - defineMethod: Integer::construct[]
14:19:12 DEBUG Log4js - defineMethod: Integer::construct[Number]
14:19:12 DEBUG Log4js - defineMethod: Integer::construct[String]
14:19:12 DEBUG Log4js - defineMethod: Integer::parseInt[String, Number]
14:19:12 DEBUG Log4js - defineMethod: Integer::parseInt[String]
14:19:12 DEBUG Log4js - defineMethod: Integer::$valueOf[String]
14:19:12 DEBUG Log4js - defineMethod: Integer::$valueOf[Number]
14:19:12 DEBUG Log4js - defineMethod: Integer::$valueOf[String, Number]
14:19:12 DEBUG Log4js - defineMethod: Integer::equals[Object]
14:19:12 DEBUG Log4js - defineMethod: Integer::decode[~S]
14:19:12 DEBUG Log4js - defineMethod: Long::construct[]
14:19:12 DEBUG Log4js - defineMethod: Long::construct[Number]
14:19:12 DEBUG Log4js - defineMethod: Long::construct[String]
14:19:12 DEBUG Log4js - defineMethod: Long::parseLong[String, Number]
14:19:12 DEBUG Log4js - defineMethod: Long::parseLong[String]
14:19:12 DEBUG Log4js - defineMethod: Long::$valueOf[String]
14:19:12 DEBUG Log4js - defineMethod: Long::$valueOf[Number]
14:19:12 DEBUG Log4js - defineMethod: Long::$valueOf[String, Number]
14:19:12 DEBUG Log4js - defineMethod: Long::equals[Object]
14:19:12 DEBUG Log4js - defineMethod: Long::decode[~S]
14:19:12 DEBUG Log4js - defineMethod: Float::construct[]
14:19:12 DEBUG Log4js - defineMethod: Float::construct[Number]
14:19:12 DEBUG Log4js - defineMethod: Float::construct[String]
14:19:12 DEBUG Log4js - defineMethod: Float::parseFloat[String]
14:19:12 DEBUG Log4js - defineMethod: Float::$valueOf[String]
14:19:12 DEBUG Log4js - defineMethod: Float::$valueOf[Number]
14:19:12 DEBUG Log4js - defineMethod: Float::isNaN[Number]
14:19:12 DEBUG Log4js - defineMethod: Float::isInfinite[Number]
14:19:12 DEBUG Log4js - defineMethod: Float::equals[Object]
14:19:12 DEBUG Log4js - defineMethod: Double::construct[]
14:19:12 DEBUG Log4js - defineMethod: Double::construct[Number]
14:19:12 DEBUG Log4js - defineMethod: Double::construct[String]
14:19:12 DEBUG Log4js - defineMethod: Double::isNaN[Number]
14:19:12 DEBUG Log4js - defineMethod: Double::isInfinite[Number]
14:19:12 DEBUG Log4js - defineMethod: Double::parseDouble[String]
14:19:12 DEBUG Log4js - defineMethod: Double::$valueOf[String]
14:19:12 DEBUG Log4js - defineMethod: Double::$valueOf[Number]
14:19:12 DEBUG Log4js - defineMethod: Double::equals[Object]
14:19:12 DEBUG Log4js - defineMethod: Byte::construct[]
